feature_name,dtype,non_missing_count,missing_count,infinite_count,unique_count,most_frequent_value_fraction,minimum,q1,median,q3,maximum,mean,standard_deviation,iqr,iqr_outlier_count,is_constant,is_near_constant,feature_family
minimum,float64,1283,0,0,1283,0.000779423226812159,-4.602716151,-1.020676736,-0.6333418656,-0.47389232815000004,-0.06292747895,-0.7425163706167965,0.42559601181309314,0.5467844078499999,13,False,False,ABFE
maximum,float64,1283,0,0,1283,0.000779423226812159,0.1291243382,0.44666335275,0.6247819573,0.8828663707,3.559008513,0.6750841061849571,0.3224145513962975,0.43620301794999994,10,False,False,ABFE
sum_value,float64,1283,0,0,1283,0.000779423226812159,-21.77003360579624,-1.1710200719193917,0.0244593959603143,1.0595798078095342,21.03469303132902,0.005209913344756881,3.048297950392385,2.230599879728926,109,False,False,ABFE
mean,float64,1283,0,0,1283,0.000779423226812159,-0.0014513355737197,-7.806800479462612e-05,1.6306263973542883e-06,7.063865385396894e-05,0.0014023128687552,3.4732755631731157e-07,0.0002032198633594672,0.00014870665864859505,109,False,False,ABFE
median,float64,1283,0,0,1283,0.000779423226812159,-0.088283510565,-0.00755081736399995,0.0056555353735,0.0243422411649999,0.060159699295,0.0023467125922285916,0.030130090927734936,0.031893058528999846,89,False,False,ABFE
standard_deviation,float64,1283,0,0,1283,0.000779423226812159,0.0344406103894273,0.13504714914357568,0.1760698980391106,0.2328477005402283,0.6157887957658368,0.19646858803830905,0.11961727985770934,0.09780055139665261,81,False,False,ABFE
variance,float64,1283,0,0,1283,0.000779423226812159,0.0011861556439963,0.01823773293357405,0.0310006089955028,0.05421805181670595,0.3791958409907394,0.05289704750992481,0.08016691176737348,0.0359803188831319,90,False,False,ABFE
kurtosis,float64,1283,0,0,1283,0.000779423226812159,-0.8769306079077701,1.7500611208846366,4.905959485860998,9.614827404750013,183.33467301631225,7.084044852077879,9.467313179799886,7.864766283865377,74,False,False,ABFE
skewness,float64,1283,0,0,1283,0.000779423226812159,-6.372893830411557,-1.6474509940380673,-0.5129599674518183,0.6222527706140715,5.304129562610036,-0.447510999981402,2.029028970420015,2.2697037646521387,44,False,False,ABFE
mean_absolute_value,float64,1283,0,0,1283,0.000779423226812159,0.0242725041721339,0.07312522749529755,0.1181606262094257,0.1398845457295371,0.508913283658278,0.13027893582378586,0.1004074910357159,0.06675931823423954,81,False,False,ABFE
root_mean_square,float64,1283,0,0,1283,0.000779423226812159,0.0344406110309364,0.13504716807854544,0.1760699052020329,0.2328477398495032,0.6157888397182445,0.19646866857397569,0.1196173201039163,0.09780057177095774,81,False,False,ABFE
peak_to_peak,float64,1283,0,0,1283,0.000779423226812159,0.22219050573,1.01518376175,1.3376332327,1.7092909560499998,7.510793199,1.4176004768017534,0.628533258462907,0.6941071942999999,23,False,False,ABFE
integrated_absolute_value,float64,1283,0,0,1283,0.000779423226812159,364.08756258200873,1096.8784124294639,1772.4093931413863,2098.268185943057,7633.69925487417,1954.1840373567888,1506.112365535738,1001.3897735135929,81,False,False,ABFE
waveform_length,float64,1283,0,0,1283,0.000779423226812159,117.18251947034376,392.9691611443832,529.5615040731848,680.6806042198845,1270.6122371021715,531.5060502311887,220.66770984076317,287.7114430755013,4,False,False,ABFE
zero_crossing_count,float64,1283,0,0,783,0.005455962587685113,443.0,870.0,1106.0,1364.5,1943.0,1114.4427123928292,343.8415179996174,494.5,0,False,False,ABFE
slope_sign_change_count,float64,1283,0,0,1044,0.003897116134060795,1870.0,3053.5,3861.0,4399.0,6252.0,3797.907248636009,990.5705938371448,1345.5,0,False,False,ABFE
approximate_entropy,float64,1283,0,0,1283,0.000779423226812159,0.1432048860133816,0.30206897609186645,0.3867471855856053,0.47014577500994464,0.9957263239539054,0.40786689021816036,0.14798797524858892,0.1680767989180782,56,False,False,ABFE
permutation_entropy,float64,1283,0,0,1283,0.000779423226812159,1.1472194815401102,1.320485629720515,1.4379268784165284,1.489752449021122,1.6434984473322856,1.41553170687718,0.1196980708703334,0.16926681930060705,0,False,False,ABFE
