feature_1,feature_2,spearman_correlation,absolute_correlation
sum_value,mean,1.0,1.0
MaxSampEn,ProfileRange,1.0,1.0
standard_deviation,variance,1.0,1.0
slope_sign_change_count,petrosian_fractal_dimension,1.0,1.0
mean_absolute_value,integrated_absolute_value,1.0,1.0
StdSampEn,VarSampEn,1.0,1.0
variance,root_mean_square,0.9999999943179959,0.9999999943179959
standard_deviation,root_mean_square,0.9999999943179959,0.9999999943179959
hjorth_mobility,fisher_information,-0.9999994261175885,0.9999994261175885
peak_to_peak,r_at_MinSampEn,0.9999990312178361,0.9999990312178361
TotalSampEn,AUC_SampEn,0.9998776891803085,0.9998776891803085
slope_sign_change_count,permutation_entropy,0.9983528813995352,0.9983528813995352
permutation_entropy,petrosian_fractal_dimension,0.9983528813995352,0.9983528813995352
n_r_points,r_at_MinSampEn,0.9958027418518707,0.9958027418518707
peak_to_peak,n_r_points,0.9957990753400703,0.9957990753400703
hjorth_mobility,mean_frequency,0.9802433422793457,0.9802433422793457
fisher_information,mean_frequency,-0.9802343703949132,0.9802343703949132
svd_entropy,fisher_information,-0.9762309212366164,0.9762309212366164
svd_entropy,hjorth_mobility,0.9762254551486974,0.9762254551486974
KurtosisSampEn,SkewnessSampEn,0.974398940847167,0.974398940847167
svd_entropy,spectral_edge_frequency_95,0.9652880120930319,0.9652880120930319
mean_frequency,median_frequency,0.9380340693191542,0.9380340693191542
hjorth_complexity,median_frequency,-0.9300189150506413,0.9300189150506413
svd_entropy,mean_frequency,0.9240545665124658,0.9240545665124658
variance,integrated_absolute_value,0.9147115392559263,0.9147115392559263
variance,mean_absolute_value,0.9147115392559263,0.9147115392559263
standard_deviation,integrated_absolute_value,0.9147115392559263,0.9147115392559263
standard_deviation,mean_absolute_value,0.9147115392559263,0.9147115392559263
root_mean_square,integrated_absolute_value,0.91471151652791,0.91471151652791
mean_absolute_value,root_mean_square,0.91471151652791,0.91471151652791
fisher_information,spectral_edge_frequency_95,-0.905394569670069,0.905394569670069
hjorth_mobility,spectral_edge_frequency_95,0.9053793248531392,0.9053793248531392
