evaluation_mode,normalization,classifier,feature_name,times_removed_by_correlation,most_common_retained_competitor,competitor_count,competitor_fraction_of_feature_pruning_events
common_rows,calibration_median,extra_trees,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median,extra_trees,hjorth_mobility,20,svd_entropy,1,1.0
common_rows,calibration_median,extra_trees,mean_frequency,20,svd_entropy,1,1.0
common_rows,calibration_median,extra_trees,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median,extra_trees,spectral_edge_frequency_95,20,svd_entropy,1,1.0
common_rows,calibration_median,logistic_regression,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median,logistic_regression,hjorth_mobility,20,svd_entropy,1,1.0
common_rows,calibration_median,logistic_regression,mean_frequency,20,svd_entropy,1,1.0
common_rows,calibration_median,logistic_regression,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,20,svd_entropy,1,1.0
common_rows,calibration_median,random_forest,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median,random_forest,hjorth_mobility,20,svd_entropy,1,1.0
common_rows,calibration_median,random_forest,mean_frequency,20,svd_entropy,1,1.0
common_rows,calibration_median,random_forest,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median,random_forest,spectral_edge_frequency_95,20,svd_entropy,1,1.0
common_rows,calibration_median_iqr,extra_trees,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median_iqr,extra_trees,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
common_rows,calibration_median_iqr,extra_trees,mean_frequency,20,median_frequency,4,0.35
common_rows,calibration_median_iqr,extra_trees,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
common_rows,calibration_median_iqr,extra_trees,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
common_rows,calibration_median_iqr,logistic_regression,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
common_rows,calibration_median_iqr,logistic_regression,mean_frequency,20,median_frequency,4,0.35
common_rows,calibration_median_iqr,logistic_regression,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
common_rows,calibration_median_iqr,logistic_regression,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
common_rows,calibration_median_iqr,random_forest,hjorth_complexity,1,median_frequency,1,1.0
common_rows,calibration_median_iqr,random_forest,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
common_rows,calibration_median_iqr,random_forest,mean_frequency,20,median_frequency,4,0.35
common_rows,calibration_median_iqr,random_forest,permutation_entropy,18,slope_sign_change_count,1,1.0
common_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
common_rows,calibration_median_iqr,random_forest,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
common_rows,jackknife_median,extra_trees,hjorth_mobility,20,svd_entropy,3,0.9
common_rows,jackknife_median,extra_trees,mean_frequency,20,svd_entropy,2,0.85
common_rows,jackknife_median,extra_trees,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,jackknife_median,extra_trees,root_mean_square,1,mean_absolute_value,1,1.0
common_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,19,svd_entropy,1,1.0
common_rows,jackknife_median,extra_trees,svd_entropy,1,spectral_edge_frequency_95,1,1.0
common_rows,jackknife_median,logistic_regression,hjorth_mobility,20,svd_entropy,3,0.9
common_rows,jackknife_median,logistic_regression,mean_frequency,20,svd_entropy,2,0.85
common_rows,jackknife_median,logistic_regression,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,jackknife_median,logistic_regression,root_mean_square,1,mean_absolute_value,1,1.0
common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,19,svd_entropy,1,1.0
common_rows,jackknife_median,logistic_regression,svd_entropy,1,spectral_edge_frequency_95,1,1.0
common_rows,jackknife_median,random_forest,hjorth_mobility,20,svd_entropy,3,0.9
common_rows,jackknife_median,random_forest,mean_frequency,20,svd_entropy,2,0.85
common_rows,jackknife_median,random_forest,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,jackknife_median,random_forest,root_mean_square,1,mean_absolute_value,1,1.0
common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,19,svd_entropy,1,1.0
common_rows,jackknife_median,random_forest,svd_entropy,1,spectral_edge_frequency_95,1,1.0
common_rows,none,extra_trees,hjorth_complexity,10,median_frequency,1,1.0
common_rows,none,extra_trees,hjorth_mobility,14,spectral_edge_frequency_95,1,1.0
common_rows,none,extra_trees,median_frequency,10,hjorth_complexity,1,1.0
common_rows,none,extra_trees,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,none,extra_trees,root_mean_square,19,mean_absolute_value,1,1.0
common_rows,none,extra_trees,slope_sign_change_count,6,permutation_entropy,1,1.0
common_rows,none,extra_trees,svd_entropy,19,spectral_edge_frequency_95,1,1.0
common_rows,none,logistic_regression,hjorth_complexity,10,median_frequency,1,1.0
common_rows,none,logistic_regression,hjorth_mobility,14,spectral_edge_frequency_95,1,1.0
common_rows,none,logistic_regression,median_frequency,10,hjorth_complexity,1,1.0
common_rows,none,logistic_regression,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,none,logistic_regression,root_mean_square,19,mean_absolute_value,1,1.0
common_rows,none,logistic_regression,slope_sign_change_count,6,permutation_entropy,1,1.0
common_rows,none,logistic_regression,svd_entropy,19,spectral_edge_frequency_95,1,1.0
common_rows,none,random_forest,hjorth_complexity,10,median_frequency,1,1.0
common_rows,none,random_forest,hjorth_mobility,14,spectral_edge_frequency_95,1,1.0
common_rows,none,random_forest,median_frequency,10,hjorth_complexity,1,1.0
common_rows,none,random_forest,permutation_entropy,12,slope_sign_change_count,1,1.0
common_rows,none,random_forest,root_mean_square,19,mean_absolute_value,1,1.0
common_rows,none,random_forest,slope_sign_change_count,6,permutation_entropy,1,1.0
common_rows,none,random_forest,svd_entropy,19,spectral_edge_frequency_95,1,1.0
native_rows,calibration_median,extra_trees,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median,extra_trees,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,calibration_median,extra_trees,mean_frequency,20,svd_entropy,1,1.0
native_rows,calibration_median,extra_trees,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,calibration_median,logistic_regression,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median,logistic_regression,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,calibration_median,logistic_regression,mean_frequency,20,svd_entropy,1,1.0
native_rows,calibration_median,logistic_regression,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,calibration_median,random_forest,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median,random_forest,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,calibration_median,random_forest,mean_frequency,20,svd_entropy,1,1.0
native_rows,calibration_median,random_forest,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median,random_forest,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,calibration_median_iqr,extra_trees,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
native_rows,calibration_median_iqr,extra_trees,mean_frequency,20,median_frequency,4,0.35
native_rows,calibration_median_iqr,extra_trees,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
native_rows,calibration_median_iqr,extra_trees,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
native_rows,calibration_median_iqr,logistic_regression,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
native_rows,calibration_median_iqr,logistic_regression,mean_frequency,20,median_frequency,4,0.35
native_rows,calibration_median_iqr,logistic_regression,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
native_rows,calibration_median_iqr,logistic_regression,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
native_rows,calibration_median_iqr,random_forest,hjorth_complexity,1,median_frequency,1,1.0
native_rows,calibration_median_iqr,random_forest,hjorth_mobility,12,spectral_edge_frequency_95,3,0.5
native_rows,calibration_median_iqr,random_forest,mean_frequency,20,median_frequency,4,0.35
native_rows,calibration_median_iqr,random_forest,permutation_entropy,18,slope_sign_change_count,1,1.0
native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,14,hjorth_mobility,2,0.5714285714285714
native_rows,calibration_median_iqr,random_forest,svd_entropy,14,hjorth_mobility,2,0.5714285714285714
native_rows,jackknife_median,extra_trees,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,jackknife_median,extra_trees,mean_frequency,20,svd_entropy,2,0.7
native_rows,jackknife_median,extra_trees,root_mean_square,1,mean_absolute_value,1,1.0
native_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,jackknife_median,logistic_regression,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,jackknife_median,logistic_regression,mean_frequency,20,svd_entropy,2,0.7
native_rows,jackknife_median,logistic_regression,root_mean_square,1,mean_absolute_value,1,1.0
native_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,jackknife_median,random_forest,hjorth_mobility,20,svd_entropy,1,1.0
native_rows,jackknife_median,random_forest,mean_frequency,20,svd_entropy,2,0.7
native_rows,jackknife_median,random_forest,root_mean_square,1,mean_absolute_value,1,1.0
native_rows,jackknife_median,random_forest,spectral_edge_frequency_95,20,svd_entropy,1,1.0
native_rows,none,extra_trees,hjorth_complexity,16,median_frequency,1,1.0
native_rows,none,extra_trees,hjorth_mobility,15,spectral_edge_frequency_95,1,1.0
native_rows,none,extra_trees,median_frequency,3,hjorth_complexity,1,1.0
native_rows,none,extra_trees,permutation_entropy,5,slope_sign_change_count,1,1.0
native_rows,none,extra_trees,root_mean_square,19,mean_absolute_value,1,1.0
native_rows,none,extra_trees,slope_sign_change_count,6,permutation_entropy,1,1.0
native_rows,none,extra_trees,svd_entropy,20,spectral_edge_frequency_95,1,1.0
native_rows,none,logistic_regression,hjorth_complexity,16,median_frequency,1,1.0
native_rows,none,logistic_regression,hjorth_mobility,15,spectral_edge_frequency_95,1,1.0
native_rows,none,logistic_regression,median_frequency,3,hjorth_complexity,1,1.0
native_rows,none,logistic_regression,permutation_entropy,5,slope_sign_change_count,1,1.0
native_rows,none,logistic_regression,root_mean_square,19,mean_absolute_value,1,1.0
native_rows,none,logistic_regression,slope_sign_change_count,6,permutation_entropy,1,1.0
native_rows,none,logistic_regression,svd_entropy,20,spectral_edge_frequency_95,1,1.0
native_rows,none,random_forest,hjorth_complexity,16,median_frequency,1,1.0
native_rows,none,random_forest,hjorth_mobility,15,spectral_edge_frequency_95,1,1.0
native_rows,none,random_forest,median_frequency,3,hjorth_complexity,1,1.0
native_rows,none,random_forest,permutation_entropy,5,slope_sign_change_count,1,1.0
native_rows,none,random_forest,root_mean_square,19,mean_absolute_value,1,1.0
native_rows,none,random_forest,slope_sign_change_count,6,permutation_entropy,1,1.0
native_rows,none,random_forest,svd_entropy,20,spectral_edge_frequency_95,1,1.0
