feature_name,outcome_name,effect_measure,patient_count,spearman_rho,raw_p_value,exploratory_fdr_q_value
kurtosis,jackknife_roc_auc,absolute_cliffs_delta,20,0.3254174003766747,0.16149628771860183,0.16149628771860183
kurtosis,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.4206693202061174,0.06475708900269898,0.0678407599075894
kurtosis,jackknife_roc_auc,robust_absolute_median_difference,20,0.6222637249497177,0.0033916245024881485,0.014923147810947853
kurtosis,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.7048245586185216,0.0005201364485348055,0.00572150093388286
skewness,jackknife_roc_auc,absolute_cliffs_delta,20,0.5754997268422809,0.00792957775399969,0.013419285429845627
skewness,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.5975236726586493,0.005399987995277809,0.010799975990555618
skewness,jackknife_roc_auc,robust_absolute_median_difference,20,0.5976804666800992,0.005384716838553261,0.01692339577831025
skewness,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.7162541460555787,0.0003819797405331525,0.00572150093388286
mean_absolute_value,jackknife_roc_auc,absolute_cliffs_delta,20,0.6209607590992002,0.00347903418933978,0.009252409306484495
mean_absolute_value,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.7332932669617154,0.0002344325009125108,0.0017191716733584125
mean_absolute_value,jackknife_roc_auc,robust_absolute_median_difference,20,0.11523402313883661,0.6285444091629153,0.6285444091629153
mean_absolute_value,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.20420862887542032,0.3878084796807566,0.406275550141745
waveform_length,jackknife_roc_auc,absolute_cliffs_delta,20,0.7185915447669439,0.00035796710997773563,0.001968819104877546
waveform_length,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.7683397683397684,7.593377396178211e-05,0.0008352715135796032
waveform_length,jackknife_roc_auc,robust_absolute_median_difference,20,0.6038262812475038,0.004813539998397962,0.01692339577831025
waveform_length,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.6812034112486035,0.0009435633314449232,0.006919464430596103
slope_sign_change_count,jackknife_roc_auc,absolute_cliffs_delta,20,0.6108914212737581,0.004219655446101248,0.009283241981422746
slope_sign_change_count,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.5097647679897543,0.02167187315954412,0.026487844972776144
slope_sign_change_count,jackknife_roc_auc,robust_absolute_median_difference,20,0.3518478839839145,0.1281788478787374,0.1429666100330968
slope_sign_change_count,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.40841725775084065,0.07380909736598933,0.09551765541480972
approximate_entropy,jackknife_roc_auc,absolute_cliffs_delta,20,0.6166029289874535,0.00378507653447093,0.009252409306484495
approximate_entropy,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.5386100386100386,0.014278484357548997,0.020941777057738527
approximate_entropy,jackknife_roc_auc,robust_absolute_median_difference,20,0.49012871175051836,0.02824669074538158,0.05823278458722707
approximate_entropy,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.4663271674319299,0.038214503882687594,0.05823278458722707
fuzzy_entropy,jackknife_roc_auc,absolute_cliffs_delta,20,0.5761188982963581,0.007847187130163214,0.013419285429845627
fuzzy_entropy,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.4861003861003861,0.029771326637472534,0.03274845930121979
fuzzy_entropy,jackknife_roc_auc,robust_absolute_median_difference,20,0.5039567945271788,0.02347474148973418,0.057382701419350216
fuzzy_entropy,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.4823285898438099,0.03125671459048955,0.05823278458722707
median_frequency,jackknife_roc_auc,absolute_cliffs_delta,20,0.5588777704380776,0.010419885661395576,0.016374106039335905
median_frequency,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.5159394555236504,0.019877632154431543,0.02572399455279376
median_frequency,jackknife_roc_auc,robust_absolute_median_difference,20,0.4793735362575603,0.032460503286512524,0.05823278458722707
median_frequency,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.5531920319535639,0.011404692528924487,0.03136290445454234
spectral_entropy,jackknife_roc_auc,absolute_cliffs_delta,20,0.7006851465766517,0.0005796677637219407,0.002125448466980449
spectral_entropy,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.8108108108108109,1.4506424560492377e-05,0.0003191413403308323
spectral_entropy,jackknife_roc_auc,robust_absolute_median_difference,20,0.35031143034206336,0.12996964548463347,0.1429666100330968
spectral_entropy,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.4625173049529109,0.0400358099178722,0.05823278458722707
MedianSampEn,jackknife_roc_auc,absolute_cliffs_delta,20,0.6709034248749585,0.0012036295897596744,0.0037828358535304052
MedianSampEn,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.4983179543372898,0.025336802874549057,0.029337350696846277
MedianSampEn,jackknife_roc_auc,robust_absolute_median_difference,20,0.4578631852716442,0.04235111606343787,0.05823278458722707
MedianSampEn,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.39622569781797967,0.08372234956790552,0.10232731613855119
AUC_SampEn,jackknife_roc_auc,absolute_cliffs_delta,20,0.5313094522737652,0.01592174060791871,0.021892393335888223
AUC_SampEn,calibration_iqr_roc_auc,absolute_cliffs_delta,20,0.7009880581252849,0.000575123825429893,0.002125448466980449
AUC_SampEn,jackknife_roc_auc,robust_absolute_median_difference,20,0.4655454534808999,0.03858285439928591,0.05823278458722707
AUC_SampEn,calibration_iqr_roc_auc,robust_absolute_median_difference,20,0.6667259338283312,0.0013250777732876512,0.0072879277530820815
