evaluation_mode,normalization,classifier,fold_patient_1,fold_patient_2,selected_feature_count_1,selected_feature_count_2,intersection_size,union_size,jaccard_similarity,overlap_coefficient
common_rows,calibration_median,extra_trees,491,638,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,491,906,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,1049,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,1855,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,491,8452,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,10013,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,26398,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,491,26502,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,27245,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,491,30071,16,15,14,17,0.8235294117647058,0.9333333333333333
common_rows,calibration_median,extra_trees,491,30851,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,491,57091,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,491,59285,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,491,70447,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,80436,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,491,88503,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,90396,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,491,96305,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,491,96879,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,906,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,1049,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,1855,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,8452,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,10013,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,26398,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,638,26502,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,27245,16,17,16,17,0.9411764705882353,1.0
common_rows,calibration_median,extra_trees,638,30071,16,15,14,17,0.8235294117647058,0.9333333333333333
common_rows,calibration_median,extra_trees,638,30851,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,57091,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,638,59285,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,70447,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,80436,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,88503,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,638,90396,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,638,96305,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,638,96879,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,1049,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,1855,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,8452,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,10013,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,906,26398,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,26502,16,16,13,19,0.6842105263157895,0.8125
common_rows,calibration_median,extra_trees,906,27245,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,906,30071,16,15,14,17,0.8235294117647058,0.9333333333333333
common_rows,calibration_median,extra_trees,906,30851,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,57091,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,59285,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,70447,16,16,16,16,1.0,1.0
common_rows,calibration_median,extra_trees,906,80436,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,88503,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,90396,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,906,96305,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,906,96879,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,1049,1855,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,8452,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,1049,10013,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,26398,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,1049,26502,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,27245,16,17,15,18,0.8333333333333334,0.9375
common_rows,calibration_median,extra_trees,1049,30071,16,15,13,18,0.7222222222222222,0.8666666666666667
common_rows,calibration_median,extra_trees,1049,30851,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,57091,16,16,15,17,0.8823529411764706,0.9375
common_rows,calibration_median,extra_trees,1049,59285,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,70447,16,16,14,18,0.7777777777777778,0.875
common_rows,calibration_median,extra_trees,1049,80436,16,16,14,18,0.7777777777777778,0.875
