variable_name,outcome_name,positive_level,negative_level,positive_count,negative_count,analysis_eligible,reason_if_not_eligible,positive_median_auc,negative_median_auc,positive_iqr_auc,negative_iqr_auc,positive_min_auc,negative_min_auc,positive_max_auc,negative_max_auc,positive_mean_auc,negative_mean_auc,median_difference_positive_minus_negative,hodges_lehmann_location_shift,mann_whitney_u_statistic,raw_p_value,rank_biserial_effect_size,bootstrap_ci_low,bootstrap_ci_high,fdr_family,exploratory_fdr_q_value,label
flag_paced_or_icd,jackknife_roc_auc,1,0,5,15,True,,0.7767857142857142,0.9666666666666666,0.43016827653240997,0.18141480730223125,0.2978260869565218,0.5617732558139534,0.9941666666666666,1.0,0.6696575221462663,0.8937575335997092,-0.18988095238095237,-0.176027352864921,16.0,0.06108448507960537,-0.5733333333333333,-0.6688405797101448,0.04135359951603146,jackknife_binary,0.33596466793782953,flag_paced_or_icd (n=5/15)
flag_paced_or_icd,calibration_iqr_roc_auc,1,0,5,15,True,,0.7162698412698413,0.9574074074074074,0.47795668549905834,0.2758852905569007,0.4434782608695652,0.6482558139534884,1.0,1.0,0.7143582833280696,0.8824680105630226,-0.2411375661375661,-0.2047775530839232,23.5,0.23240191332004867,-0.3733333333333333,-0.5329566854990584,0.2048214285714286,calibration_iqr_binary,0.4260701744200892,flag_paced_or_icd (n=5/15)
flag_continuous_AF,jackknife_roc_auc,1,0,3,17,True,,0.7767857142857142,0.9528130671506352,0.18842592592592589,0.1922413793103448,0.6231481481481481,0.2978260869565218,1.0,1.0,0.7999779541446208,0.844395103076065,-0.176027352864921,-0.0526260504201681,21.0,0.665297811199052,-0.17647058823529416,-0.3768518518518519,0.14516129032258063,jackknife_binary,0.7318275923189572,flag_continuous_AF (n=3/17)
flag_continuous_AF,calibration_iqr_roc_auc,1,0,3,17,True,,0.7162698412698413,0.945,0.15740740740740744,0.29194915254237286,0.6851851851851852,0.4434782608695652,1.0,1.0,0.8004850088183422,0.8474915616841566,-0.22873015873015867,-0.02171136653895267,22.5,0.7885605569596887,-0.11764705882352944,-0.3131481481481482,0.25982142857142865,calibration_iqr_binary,0.7885605569596887,flag_continuous_AF (n=3/17)
flag_intermittent_or_new_AF,jackknife_roc_auc,1,0,3,17,True,,0.9528130671506352,0.9457236842105264,0.07258064516129026,0.2809322033898305,0.8548387096774194,0.2978260869565218,1.0,1.0,0.9358839256093515,0.820411696346995,0.007089382940108746,0.02542694497153708,31.0,0.588670923100433,0.21568627450980382,-0.14516129032258063,0.23374527054046568,jackknife_binary,0.7194866837894182,flag_intermittent_or_new_AF (n=3/17)
flag_intermittent_or_new_AF,calibration_iqr_roc_auc,1,0,3,17,True,,1.0,0.9352941176470588,0.06964609800362975,0.2914367816091955,0.8607078039927405,0.4434782608695652,1.0,1.0,0.9535692679975801,0.8204766924172322,0.06470588235294117,0.06470588235294117,38.0,0.19800182604999372,0.4901960784313726,-0.1360027223230491,0.2931034482758621,calibration_iqr_binary,0.4260701744200892,flag_intermittent_or_new_AF (n=3/17)
flag_any_AF,jackknife_roc_auc,1,0,6,14,True,,0.9038258884140273,0.9561951754385964,0.19190430365401834,0.25875949736995907,0.6231481481481481,0.2978260869565218,1.0,1.0,0.867930939876986,0.8247903553903609,-0.05236928702456911,0.0,43.0,0.966390348456358,0.023809523809523725,-0.24575675299359523,0.1922413793103448,jackknife_binary,0.966390348456358,flag_any_AF (n=6/14)
flag_any_AF,calibration_iqr_roc_auc,1,0,6,14,True,,0.9303539019963702,0.9401470588235294,0.24762066804943395,0.29074250592143724,0.6851851851851852,0.4434782608695652,1.0,1.0,0.8770271384079612,0.8247606246169943,-0.0097931568271592,0.0032894736842103978,51.5,0.4518876266510604,0.22619047619047628,-0.2456232492997199,0.2925263004091174,calibration_iqr_binary,0.552307099240185,flag_any_AF (n=6/14)
flag_atypical_HI,jackknife_roc_auc,1,0,3,17,True,,0.8294117647058823,0.9528130671506352,0.20244670542635657,0.2232142857142858,0.5617732558139534,0.2978260869565218,0.9666666666666666,1.0,0.7859505623955009,0.8468705251494392,-0.12340130244475289,-0.03333333333333344,17.0,0.38691757862349074,-0.33333333333333337,-0.43822674418604657,0.11182795698924719,jackknife_binary,0.5320116706072998,flag_atypical_HI (n=3/17)
flag_atypical_HI,calibration_iqr_roc_auc,1,0,3,17,True,,0.9352941176470588,0.945,0.17503875968992244,0.29194915254237286,0.6482558139534884,0.4434782608695652,0.9983333333333334,1.0,0.8606277549779602,0.8368781358912828,-0.00970588235294112,-0.0016666666666665941,21.0,0.6678588640541676,-0.17647058823529416,-0.3517441860465116,0.2820634920634921,calibration_iqr_binary,0.7346447504595843,flag_atypical_HI (n=3/17)
flag_BBB,jackknife_roc_auc,1,0,4,16,True,,0.6007280737153617,0.9597398669086509,0.4396299391163981,0.17600152129817448,0.2978260869565218,0.5617732558139534,1.0,1.0,0.6248205585968113,0.8909605237712327,-0.35901179319328913,-0.2232142857142858,16.0,0.13453500804221927,-0.5,-0.6619137799521291,0.040260133091349126,jackknife_binary,0.4275596937732412,flag_BBB (n=4/16)
flag_BBB,calibration_iqr_roc_auc,1,0,4,16,True,,0.5916565778853915,0.9512037037037037,0.3260503298592834,0.2678533595641647,0.4434782608695652,0.6482558139534884,1.0,1.0,0.6566978541600871,0.8863762599028338,-0.35954712581831216,-0.2639954387213173,17.5,0.18003958217972316,-0.453125,-0.5430944754726414,0.05985294117647055,calibration_iqr_binary,0.4260701744200892,flag_BBB (n=4/16)
flag_antiarrhythmic_exposure,jackknife_roc_auc,1,0,5,15,True,,0.7767857142857142,0.9941666666666666,0.1846104725415071,0.11243227554179569,0.2978260869565218,0.4246704331450094,0.8548387096774194,1.0,0.6720714559514918,0.8929528889979674,-0.21738095238095245,-0.1922413793103448,12.0,0.025772473647759725,-0.6799999999999999,-0.6963405797101448,-0.09797435747321581,jackknife_binary,0.283497210125357,flag_antiarrhythmic_exposure (n=5/15)
flag_antiarrhythmic_exposure,calibration_iqr_roc_auc,1,0,5,15,True,,0.7068965517241379,0.9574074074074074,0.031084656084656048,0.19955681228934408,0.4434782608695652,0.4670433145009416,1.0,1.0,0.7103659678097459,0.8837987824024638,-0.2505108556832695,-0.2501089324618736,19.5,0.12161511147251237,-0.48,-0.5139291465378422,0.042592592592592626,calibration_iqr_binary,0.4260701744200892,flag_antiarrhythmic_exposure (n=5/15)
flag_mechanical_support,jackknife_roc_auc,1,0,3,17,True,,1.0,0.8548387096774194,0.027138157894736725,0.2809322033898305,0.9457236842105264,0.2978260869565218,1.0,1.0,0.9819078947368421,0.8122898194421436,0.14516129032258063,0.11631191950464415,38.0,0.19434531535147326,0.4901960784313726,-0.021630482456140087,0.2809322033898305,jackknife_binary,0.4275596937732412,flag_mechanical_support (n=3/17)
flag_mechanical_support,calibration_iqr_roc_auc,1,0,3,17,True,,1.0,0.8607078039927405,0.0016447368421051989,0.2914367816091955,0.9967105263157896,0.4434782608695652,1.0,1.0,0.9989035087719298,0.8124765322805824,0.1392921960072595,0.1392921960072595,42.0,0.0860973137340605,0.6470588235294117,0.0016666666666665941,0.2931034482758621,calibration_iqr_binary,0.4260701744200892,flag_mechanical_support (n=3/17)
