analysis_type,subgroup_name,configuration,included_patient_count,included_prediction_row_count,pooled_roc_auc,pooled_average_precision,pooled_sensitivity,pooled_specificity,pooled_balanced_accuracy,pooled_roc_auc_bootstrap_ci_low,pooled_roc_auc_bootstrap_ci_high,pooled_average_precision_bootstrap_ci_low,pooled_average_precision_bootstrap_ci_high,median_patient_auc,patient_auc_iqr,minimum_patient_auc,maximum_patient_auc
primary,full_cohort,jackknife,20,1083,0.8233933688088416,0.8292245178281166,0.7936962750716332,0.7558441558441559,0.7747702154578946,0.715204875438111,0.9171358217972121,0.733905694997995,0.9307821694533556,0.9492683756805809,0.23764376513317198,0.2978260869565218,1.0
primary,full_cohort,calibration_iqr,20,1083,0.7453056971681613,0.8241372352197848,0.667621776504298,0.6727272727272727,0.6701745246157853,0.6286678694773945,0.8679401696334017,0.7241836075149004,0.9182551481933181,0.9401470588235294,0.2922377264757452,0.4434782608695652,1.0
secondary,hrv_valid,jackknife,12,669,0.8922855061621451,0.9267914381639104,0.7775229357798165,0.8626609442060086,0.8200919399929125,0.8084046181969732,0.9612559604129229,0.8712839856780796,0.9748603074360976,0.9597398669086509,0.17600152129817448,0.5617732558139534,1.0
secondary,hrv_valid,calibration_iqr,12,669,0.8465714454463126,0.9111925163462753,0.8279816513761468,0.6566523605150214,0.7423170059455841,0.7532166793950458,0.9523850651956943,0.8620099884011394,0.9717220193950321,0.9770589668615985,0.17745643514103782,0.6482558139534884,1.0
secondary,without_implanted_device_or_pacing,jackknife,15,812,0.8969051393843308,0.9264418922077121,0.789272030651341,0.8551724137931035,0.8222222222222222,0.8181638222209145,0.9584947400568824,0.8686425125790023,0.969037480563036,0.9666666666666666,0.18141480730223125,0.5617732558139534,1.0
secondary,without_implanted_device_or_pacing,calibration_iqr,15,812,0.8413528867750033,0.9039559568618543,0.8256704980842912,0.6655172413793103,0.7455938697318008,0.7570621601727978,0.9339332980098104,0.8541712033623482,0.95993182999119,0.9574074074074074,0.2758852905569007,0.6482558139534884,1.0
secondary,without_major_arrhythmia,jackknife,10,543,0.8854553492484527,0.913807494221495,0.7844827586206896,0.8358974358974359,0.8101900972590628,0.7901085454943616,0.9623915819438884,0.851186228194061,0.9722259681959026,0.9561951754385964,0.18536975997295468,0.5617732558139534,1.0
secondary,without_major_arrhythmia,calibration_iqr,10,543,0.8347922192749779,0.8919105564701153,0.7959770114942529,0.676923076923077,0.736450044208665,0.7315059284192418,0.9469865201488973,0.829044164319687,0.9672181475503532,0.9512037037037037,0.2330659665739624,0.6482558139534884,1.0
secondary,without_high_qc_burden,jackknife,10,584,0.7977432290209557,0.8205219745449384,0.6895674300254453,0.7905759162303665,0.7400716731279059,0.6794531318733305,0.9082179494354414,0.7488031968620565,0.9241410860951416,0.8421252371916508,0.19929932590095933,0.4246704331450094,1.0
secondary,without_high_qc_burden,calibration_iqr,10,584,0.6864167432689874,0.8091260273299745,0.5241730279898219,0.6858638743455497,0.6050184511676858,0.5635359638757798,0.8279415319310852,0.7188689662261717,0.893775044266341,0.8980009608198997,0.24419995964487484,0.4670433145009416,1.0
secondary,clean_sinus_rhythm_candidate,jackknife,4,245,0.9363257575757575,0.9636799498997152,0.8606060606060606,0.875,0.8678030303030303,0.7906702898550725,1.0,0.9093581524089189,1.0,1.0,0.07023305084745757,0.7190677966101695,1.0
secondary,clean_sinus_rhythm_candidate,calibration_iqr,4,245,0.8635227272727273,0.9276419318296752,0.8848484848484849,0.65,0.7674242424242425,0.7318313953488372,0.9994604316546762,0.8642990278104691,0.9996949398826759,0.9787037037037036,0.10493173258003763,0.7080508474576271,1.0
secondary,without_atypical_hi,jackknife,17,935,0.8318010372465818,0.8322752062674896,0.8135313531353136,0.7629179331306991,0.7882246431330063,0.7090155358275206,0.9342638426820271,0.7241516393150293,0.945198417866316,0.9528130671506352,0.2232142857142858,0.2978260869565218,1.0
secondary,without_atypical_hi,calibration_iqr,17,935,0.7402269102290169,0.825200075632978,0.6551155115511551,0.6838905775075987,0.6695030445293769,0.6032676801534224,0.873175180990092,0.7154687693220388,0.9232077339119646,0.945,0.29194915254237286,0.4434782608695652,1.0
