outer_fold_patient_id,evaluation_mode,normalization,classifier,removed_feature,retained_feature,absolute_spearman_correlation,threshold
491,common_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,0.9598361248952356,0.9
491,common_rows,none,logistic_regression,root_mean_square,mean_absolute_value,0.9098142390580503,0.9
491,common_rows,none,logistic_regression,permutation_entropy,slope_sign_change_count,0.9981667118758387,0.9
491,common_rows,none,logistic_regression,median_frequency,hjorth_complexity,0.918199734870457,0.9
491,common_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,0.9598361248952356,0.9
491,common_rows,none,extra_trees,root_mean_square,mean_absolute_value,0.9098142390580503,0.9
491,common_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,0.9981667118758387,0.9
491,common_rows,none,extra_trees,median_frequency,hjorth_complexity,0.918199734870457,0.9
491,common_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,0.9598361248952356,0.9
491,common_rows,none,random_forest,root_mean_square,mean_absolute_value,0.9098142390580503,0.9
491,common_rows,none,random_forest,permutation_entropy,slope_sign_change_count,0.9981667118758387,0.9
491,common_rows,none,random_forest,median_frequency,hjorth_complexity,0.918199734870457,0.9
491,common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.965469169687654,0.9
491,common_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9783853952229044,0.9
491,common_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,0.9356854998229233,0.9
491,common_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.965469169687654,0.9
491,common_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9783853952229044,0.9
491,common_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,0.9356854998229233,0.9
491,common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.965469169687654,0.9
491,common_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9783853952229044,0.9
491,common_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,0.9356854998229233,0.9
491,common_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,common_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,common_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
491,common_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9923986606361125,0.9
491,common_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,common_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,common_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
491,common_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9923986606361125,0.9
491,common_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,common_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,common_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
