outer_fold_patient_id,evaluation_mode,normalization,classifier,roc_auc,average_precision,accuracy,sensitivity,specificity,balanced_accuracy,evaluated_rows,class_0_rows,class_1_rows
491,common_rows,none,logistic_regression,0.0,0.3990228792095046,0.4,0.0,1.0,0.5,50,20,30
491,common_rows,none,extra_trees,0.015,0.40478073824691574,0.24,0.0,0.6,0.3,50,20,30
491,common_rows,none,random_forest,0.1325,0.42808497605932305,0.46,0.7666666666666667,0.0,0.38333333333333336,50,20,30
491,common_rows,jackknife_median,logistic_regression,0.0,0.3990228792095046,0.4,0.0,1.0,0.5,50,20,30
491,common_rows,jackknife_median,extra_trees,0.9941666666666666,0.995473718593852,0.98,1.0,0.95,0.975,50,20,30
491,common_rows,jackknife_median,random_forest,0.995,0.9968055555555555,0.94,0.9666666666666667,0.9,0.9333333333333333,50,20,30
491,common_rows,calibration_median,logistic_regression,0.34833333333333333,0.5041484964820429,0.52,0.7666666666666667,0.15,0.45833333333333337,50,20,30
491,common_rows,calibration_median,extra_trees,0.9991666666666666,0.9989247311827956,0.8,1.0,0.5,0.75,50,20,30
491,common_rows,calibration_median,random_forest,0.9525,0.9421528753268992,0.8,1.0,0.5,0.75,50,20,30
491,common_rows,calibration_median_iqr,logistic_regression,0.4033333333333334,0.5209988391776558,0.4,0.0,1.0,0.5,50,20,30
491,common_rows,calibration_median_iqr,extra_trees,0.945,0.9547318504363222,0.52,0.2,1.0,0.6,50,20,30
491,common_rows,calibration_median_iqr,random_forest,0.8175,0.7568429514072685,0.58,0.4,0.85,0.625,50,20,30
491,native_rows,none,logistic_regression,1.0,1.0,0.5,1.0,0.0,0.5,60,30,30
491,native_rows,none,extra_trees,0.005555555555555555,0.3229937136615638,0.43333333333333335,0.0,0.8666666666666667,0.43333333333333335,60,30,30
491,native_rows,none,random_forest,0.01611111111111111,0.32230577528181503,0.31666666666666665,0.0,0.6333333333333333,0.31666666666666665,60,30,30
491,native_rows,jackknife_median,logistic_regression,0.0,0.31511671796865326,0.48333333333333334,0.0,0.9666666666666667,0.48333333333333334,60,30,30
491,native_rows,jackknife_median,extra_trees,0.9955555555555555,0.995473718593852,0.8166666666666667,0.6333333333333333,1.0,0.8166666666666667,60,30,30
491,native_rows,jackknife_median,random_forest,0.9955555555555556,0.9958585858585859,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,60,30,30
491,native_rows,calibration_median,logistic_regression,0.34833333333333333,0.5041484964820429,0.52,0.7666666666666667,0.15,0.45833333333333337,50,20,30
491,native_rows,calibration_median,extra_trees,0.9991666666666666,0.9989247311827956,0.8,1.0,0.5,0.75,50,20,30
491,native_rows,calibration_median,random_forest,0.9525,0.9421528753268992,0.8,1.0,0.5,0.75,50,20,30
491,native_rows,calibration_median_iqr,logistic_regression,0.4033333333333334,0.5209988391776558,0.4,0.0,1.0,0.5,50,20,30
491,native_rows,calibration_median_iqr,extra_trees,0.945,0.9547318504363222,0.52,0.2,1.0,0.6,50,20,30
491,native_rows,calibration_median_iqr,random_forest,0.8175,0.7568429514072685,0.58,0.4,0.85,0.625,50,20,30
638,common_rows,none,logistic_regression,0.6428571428571428,0.7585645348309533,0.28,0.0,1.0,0.5,50,14,36
638,common_rows,none,extra_trees,0.08531746031746032,0.5389895430187718,0.72,1.0,0.0,0.5,50,14,36
638,common_rows,none,random_forest,0.1378968253968254,0.5562130058537297,0.72,1.0,0.0,0.5,50,14,36
638,common_rows,jackknife_median,logistic_regression,0.2996031746031746,0.5975311146592551,0.28,0.0,1.0,0.5,50,14,36
638,common_rows,jackknife_median,extra_trees,0.7767857142857142,0.8937937609806391,0.84,0.9444444444444444,0.5714285714285714,0.7579365079365079,50,14,36
638,common_rows,jackknife_median,random_forest,0.7579365079365079,0.8858314057713974,0.74,0.8055555555555556,0.5714285714285714,0.6884920634920635,50,14,36
638,common_rows,calibration_median,logistic_regression,0.36309523809523814,0.6206072912128313,0.28,0.0,1.0,0.5,50,14,36
638,common_rows,calibration_median,extra_trees,0.5654761904761906,0.7959023380021041,0.6,0.6388888888888888,0.5,0.5694444444444444,50,14,36
638,common_rows,calibration_median,random_forest,0.689484126984127,0.8372149588743464,0.7,0.7222222222222222,0.6428571428571429,0.6825396825396826,50,14,36
638,common_rows,calibration_median_iqr,logistic_regression,0.45039682539682535,0.7193729345049047,0.54,0.4166666666666667,0.8571428571428571,0.6369047619047619,50,14,36
638,common_rows,calibration_median_iqr,extra_trees,0.7162698412698413,0.8554606473353412,0.42,0.2222222222222222,0.9285714285714286,0.5753968253968254,50,14,36
638,common_rows,calibration_median_iqr,random_forest,0.4087301587301588,0.6699705215785078,0.3,0.1111111111111111,0.7857142857142857,0.4484126984126984,50,14,36
638,native_rows,none,logistic_regression,0.6666666666666666,0.7164811005987716,0.4,0.0,1.0,0.5,60,24,36
638,native_rows,none,extra_trees,0.16030092592592593,0.43848110365157583,0.5833333333333334,0.9722222222222222,0.0,0.4861111111111111,60,24,36
638,native_rows,none,random_forest,0.21875,0.4835428790770815,0.5,0.8333333333333334,0.0,0.4166666666666667,60,24,36
638,native_rows,jackknife_median,logistic_regression,0.41435185185185186,0.5566842985803364,0.4166666666666667,0.16666666666666666,0.7916666666666666,0.47916666666666663,60,24,36
638,native_rows,jackknife_median,extra_trees,0.7268518518518519,0.8106215804947884,0.6166666666666667,0.5833333333333334,0.6666666666666666,0.625,60,24,36
638,native_rows,jackknife_median,random_forest,0.6643518518518519,0.7246979216585845,0.5666666666666667,0.6111111111111112,0.5,0.5555555555555556,60,24,36
638,native_rows,calibration_median,logistic_regression,0.36309523809523814,0.6206072912128313,0.28,0.0,1.0,0.5,50,14,36
638,native_rows,calibration_median,extra_trees,0.5654761904761906,0.7959023380021041,0.6,0.6388888888888888,0.5,0.5694444444444444,50,14,36
638,native_rows,calibration_median,random_forest,0.689484126984127,0.8372149588743464,0.7,0.7222222222222222,0.6428571428571429,0.6825396825396826,50,14,36
638,native_rows,calibration_median_iqr,logistic_regression,0.45039682539682535,0.7193729345049047,0.54,0.4166666666666667,0.8571428571428571,0.6369047619047619,50,14,36
638,native_rows,calibration_median_iqr,extra_trees,0.7162698412698413,0.8554606473353412,0.42,0.2222222222222222,0.9285714285714286,0.5753968253968254,50,14,36
638,native_rows,calibration_median_iqr,random_forest,0.4087301587301588,0.6699705215785078,0.3,0.1111111111111111,0.7857142857142857,0.4484126984126984,50,14,36
906,common_rows,none,logistic_regression,0.6160714285714286,0.6159905412425762,0.6666666666666666,0.9642857142857143,0.25,0.6071428571428572,48,20,28
906,common_rows,none,extra_trees,0.8,0.7274522857007814,0.6875,1.0,0.25,0.625,48,20,28
906,common_rows,none,random_forest,0.8,0.7338924251136483,0.6041666666666666,1.0,0.05,0.525,48,20,28
906,common_rows,jackknife_median,logistic_regression,0.8589285714285714,0.8161378424634949,0.7291666666666666,1.0,0.35,0.675,48,20,28
906,common_rows,jackknife_median,extra_trees,1.0,1.0,0.9375,1.0,0.85,0.925,48,20,28
906,common_rows,jackknife_median,random_forest,0.9517857142857143,0.9494743034166413,0.8958333333333334,1.0,0.75,0.875,48,20,28
906,common_rows,calibration_median,logistic_regression,0.8125,0.7342365655663763,0.3541666666666667,0.0,0.85,0.425,48,20,28
906,common_rows,calibration_median,extra_trees,0.9187500000000001,0.9333705292579029,0.875,1.0,0.7,0.85,48,20,28
906,common_rows,calibration_median,random_forest,0.8991071428571429,0.8559898826418898,0.7916666666666666,1.0,0.5,0.75,48,20,28
906,common_rows,calibration_median_iqr,logistic_regression,0.95,0.8942266500861764,0.7708333333333334,1.0,0.45,0.725,48,20,28
906,common_rows,calibration_median_iqr,extra_trees,0.7401785714285714,0.836597965523034,0.7291666666666666,0.9642857142857143,0.4,0.6821428571428572,48,20,28
906,common_rows,calibration_median_iqr,random_forest,0.8160714285714286,0.8106469748706744,0.75,1.0,0.4,0.7,48,20,28
906,native_rows,none,logistic_regression,0.35595238095238096,0.388841181635815,0.603448275862069,0.9642857142857143,0.26666666666666666,0.6154761904761905,58,30,28
906,native_rows,none,extra_trees,0.7113095238095238,0.5775948997627849,0.603448275862069,1.0,0.23333333333333334,0.6166666666666667,58,30,28
906,native_rows,none,random_forest,0.7601190476190477,0.6695373870085705,0.5517241379310345,1.0,0.13333333333333333,0.5666666666666667,58,30,28
906,native_rows,jackknife_median,logistic_regression,0.6666666666666667,0.5801602904332497,0.5862068965517241,0.9642857142857143,0.23333333333333334,0.5988095238095238,58,30,28
906,native_rows,jackknife_median,extra_trees,0.9392857142857143,0.8736982840821403,0.8103448275862069,0.7142857142857143,0.9,0.8071428571428572,58,30,28
906,native_rows,jackknife_median,random_forest,0.9148809523809524,0.8433210765409536,0.8448275862068966,0.8928571428571429,0.8,0.8464285714285715,58,30,28
906,native_rows,calibration_median,logistic_regression,0.8125,0.7342365655663763,0.3541666666666667,0.0,0.85,0.425,48,20,28
906,native_rows,calibration_median,extra_trees,0.9187500000000001,0.9333705292579029,0.875,1.0,0.7,0.85,48,20,28
906,native_rows,calibration_median,random_forest,0.8991071428571429,0.8559898826418898,0.7916666666666666,1.0,0.5,0.75,48,20,28
906,native_rows,calibration_median_iqr,logistic_regression,0.95,0.8942266500861764,0.7708333333333334,1.0,0.45,0.725,48,20,28
906,native_rows,calibration_median_iqr,extra_trees,0.7401785714285714,0.836597965523034,0.7291666666666666,0.9642857142857143,0.4,0.6821428571428572,48,20,28
906,native_rows,calibration_median_iqr,random_forest,0.8160714285714286,0.8106469748706744,0.75,1.0,0.4,0.7,48,20,28
1049,common_rows,none,logistic_regression,0.05806451612903228,0.4168606360308318,0.29411764705882354,0.0,0.75,0.375,51,20,31
1049,common_rows,none,extra_trees,1.0,0.9999999999999999,0.6470588235294118,1.0,0.1,0.55,51,20,31
