outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,none,logistic_regression,minimum,1,21,,0.024974756308219055,True,False,False,top_k
491,common_rows,none,logistic_regression,maximum,2,28,,0.020445913981972555,True,False,False,top_k
491,common_rows,none,logistic_regression,mean,3,34,,0.005953427024946707,True,False,False,top_k
491,common_rows,none,logistic_regression,median,4,7,7.0,0.036681065942678115,True,True,True,retained
491,common_rows,none,logistic_regression,kurtosis,5,6,6.0,0.03751350668220628,True,True,True,retained
491,common_rows,none,logistic_regression,skewness,6,2,2.0,0.054528241167040165,True,True,True,retained
491,common_rows,none,logistic_regression,mean_absolute_value,7,4,4.0,0.04120123916201354,True,True,True,retained
491,common_rows,none,logistic_regression,root_mean_square,8,11,,0.03308055950383499,True,True,False,correlation_pruning
491,common_rows,none,logistic_regression,peak_to_peak,9,30,,0.019648234929773578,True,False,False,top_k
491,common_rows,none,logistic_regression,waveform_length,10,10,9.0,0.03310569397739458,True,True,True,retained
491,common_rows,none,logistic_regression,zero_crossing_count,11,22,,0.024617647767599803,True,False,False,top_k
491,common_rows,none,logistic_regression,slope_sign_change_count,12,12,10.0,0.032817254652071186,True,True,True,retained
491,common_rows,none,logistic_regression,approximate_entropy,13,18,15.0,0.028451013367880994,True,True,True,retained
491,common_rows,none,logistic_regression,permutation_entropy,14,13,,0.031454671246263985,True,True,False,correlation_pruning
491,common_rows,none,logistic_regression,fuzzy_entropy,15,1,1.0,0.05544963385043973,True,True,True,retained
491,common_rows,none,logistic_regression,distribution_entropy,16,31,,0.017924354025157286,True,False,False,top_k
491,common_rows,none,logistic_regression,svd_entropy,17,8,,0.0362129699763282,True,True,False,correlation_pruning
491,common_rows,none,logistic_regression,lempel_ziv_complexity,18,20,16.0,0.026514744975666683,True,True,True,retained
491,common_rows,none,logistic_regression,hjorth_mobility,19,17,14.0,0.028904944396094843,True,True,True,retained
491,common_rows,none,logistic_regression,hjorth_complexity,20,15,12.0,0.030908712067185054,True,True,True,retained
491,common_rows,none,logistic_regression,katz_fractal_dimension,21,33,,0.013656170315750525,True,False,False,top_k
491,common_rows,none,logistic_regression,higuchi_fractal_dimension,22,14,11.0,0.031450994877542396,True,True,True,retained
491,common_rows,none,logistic_regression,detrended_fluctuation_analysis,23,25,,0.02322847123339671,True,False,False,top_k
491,common_rows,none,logistic_regression,mean_frequency,24,27,,0.022581330330043937,True,False,False,top_k
491,common_rows,none,logistic_regression,median_frequency,25,19,,0.02687901945644204,True,True,False,correlation_pruning
491,common_rows,none,logistic_regression,spectral_edge_frequency_95,26,3,3.0,0.04958350276953764,True,True,True,retained
491,common_rows,none,logistic_regression,spectral_entropy,27,9,8.0,0.03571231586939095,True,True,True,retained
491,common_rows,none,logistic_regression,AvgSampEn,28,32,,0.015856198175653827,True,False,False,top_k
491,common_rows,none,logistic_regression,MaxSampEn,29,24,,0.023411439665893725,True,False,False,top_k
491,common_rows,none,logistic_regression,MedianSampEn,30,16,13.0,0.03015746432003884,True,True,True,retained
491,common_rows,none,logistic_regression,StdSampEn,31,23,,0.0242931789660213,True,False,False,top_k
491,common_rows,none,logistic_regression,KurtosisSampEn,32,26,,0.023129914090276787,True,False,False,top_k
491,common_rows,none,logistic_regression,SkewnessSampEn,33,29,,0.02000147192992047,True,False,False,top_k
491,common_rows,none,logistic_regression,AUC_SampEn,34,5,5.0,0.039669942995323566,True,True,True,retained
491,common_rows,none,extra_trees,minimum,1,21,,0.024974756308219055,True,False,False,top_k
491,common_rows,none,extra_trees,maximum,2,28,,0.020445913981972555,True,False,False,top_k
491,common_rows,none,extra_trees,mean,3,34,,0.005953427024946707,True,False,False,top_k
491,common_rows,none,extra_trees,median,4,7,7.0,0.036681065942678115,True,True,True,retained
491,common_rows,none,extra_trees,kurtosis,5,6,6.0,0.03751350668220628,True,True,True,retained
491,common_rows,none,extra_trees,skewness,6,2,2.0,0.054528241167040165,True,True,True,retained
491,common_rows,none,extra_trees,mean_absolute_value,7,4,4.0,0.04120123916201354,True,True,True,retained
491,common_rows,none,extra_trees,root_mean_square,8,11,,0.03308055950383499,True,True,False,correlation_pruning
491,common_rows,none,extra_trees,peak_to_peak,9,30,,0.019648234929773578,True,False,False,top_k
491,common_rows,none,extra_trees,waveform_length,10,10,9.0,0.03310569397739458,True,True,True,retained
491,common_rows,none,extra_trees,zero_crossing_count,11,22,,0.024617647767599803,True,False,False,top_k
491,common_rows,none,extra_trees,slope_sign_change_count,12,12,10.0,0.032817254652071186,True,True,True,retained
491,common_rows,none,extra_trees,approximate_entropy,13,18,15.0,0.028451013367880994,True,True,True,retained
491,common_rows,none,extra_trees,permutation_entropy,14,13,,0.031454671246263985,True,True,False,correlation_pruning
