feature_name,frozen_feature_order,jackknife_final_selection_frequency,calibration_median_iqr_final_selection_frequency,calibration_median_final_selection_frequency,maximum_selection_frequency,minimum_selection_frequency,frequency_range,stable_across_all_three,jackknife_specific,calibration_iqr_specific,calibration_median_specific
minimum,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
maximum,1,0.0,0.0,0.05,0.05,0.0,0.05,False,False,False,False
mean,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
median,3,1.0,0.05,1.0,1.0,0.05,0.95,False,False,False,False
kurtosis,4,1.0,1.0,0.9,1.0,0.9,0.09999999999999998,True,False,False,False
skewness,5,0.95,0.9,1.0,1.0,0.9,0.09999999999999998,True,False,False,False
mean_absolute_value,6,1.0,1.0,0.85,1.0,0.85,0.15000000000000002,True,False,False,False
root_mean_square,7,0.95,0.35,0.35,0.95,0.35,0.6,False,True,False,False
peak_to_peak,8,0.0,0.65,0.0,0.65,0.0,0.65,False,False,False,False
waveform_length,9,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False
zero_crossing_count,10,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
slope_sign_change_count,11,0.95,1.0,1.0,1.0,0.95,0.050000000000000044,True,False,False,False
approximate_entropy,12,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False
permutation_entropy,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
fuzzy_entropy,14,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False
distribution_entropy,15,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
svd_entropy,16,0.95,0.3,1.0,1.0,0.3,0.7,False,False,False,False
lempel_ziv_complexity,17,0.65,1.0,1.0,1.0,0.65,0.35,False,False,False,False
hjorth_mobility,18,0.0,0.4,0.0,0.4,0.0,0.4,False,False,False,False
hjorth_complexity,19,1.0,0.55,0.45,1.0,0.45,0.55,False,False,False,False
katz_fractal_dimension,20,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
higuchi_fractal_dimension,21,0.35,0.8,0.7,0.8,0.35,0.45000000000000007,False,False,False,False
detrended_fluctuation_analysis,22,0.55,0.95,0.95,0.95,0.55,0.3999999999999999,False,False,False,False
mean_frequency,23,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
median_frequency,24,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False
spectral_edge_frequency_95,25,0.05,0.3,0.0,0.3,0.0,0.3,False,False,False,False
spectral_entropy,26,1.0,0.95,1.0,1.0,0.95,0.050000000000000044,True,False,False,False
AvgSampEn,27,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
MaxSampEn,28,0.25,0.1,0.35,0.35,0.1,0.24999999999999997,False,False,False,False
MedianSampEn,29,0.95,1.0,0.95,1.0,0.95,0.050000000000000044,True,False,False,False
StdSampEn,30,0.0,0.0,0.15,0.15,0.0,0.15,False,False,False,False
KurtosisSampEn,31,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SkewnessSampEn,32,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
AUC_SampEn,33,0.75,0.75,0.35,0.75,0.35,0.4,False,False,False,False
